row_number,item_id,tracker_id,workstream_id,workstream,domain,phase,title,implementation_action,acceptance,dependencies,required_artifacts,external_gates,status,runtime_proof_required,runtime_completion_claimed,completion_profile,optional_profiles_not_blocking,source_citations,tracker_state,next_action,blocker
321,ITEM-W64-321,TRK-W64-321,MFB-01,release_snapshot_and_pinning,maskfactory_autonomous_bridge,contract,MaskFactory Immutable Integration Release Snapshot,"Define the v2 producer snapshot binding clean source, exact wire contracts, canonical encoding/domain separation, API, package, ontology, node pack, wheel, capabilities, certificates, revocation index, signed journal bootstrap/checkpoint, and artifacts by hash.","A canonical trust-anchored snapshot rejects mutable worktree authority, embedded/self-signed key substitution, missing hashes, unmanifested artifacts, archive/path escape, and ambiguous contract identity.",ITEM-W64-177|ITEM-W64-178|ITEM-W64-179|ITEM-W64-180,implementation_hashes|tests|qa_record|pass_or_exact_blocker,,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
322,ITEM-W64-322,TRK-W64-322,MFB-01,release_snapshot_and_pinning,maskfactory_autonomous_bridge,implementation,Main Exact Release Pin and Integrity Verifier,"Implement isolated import, safe archive extraction, content hashing, out-of-band trusted-key verification, canonical payload/signature verification, clean-source verification, atomic pinning, checkpoint validation, and rollback metadata.",Only a fully verified named release signed by an allowed active key and bound to the current revocation index/journal head can become the active Main producer pin; prior non-revoked pins remain recoverable.,ITEM-W64-321,implementation_hashes|tests|qa_record|pass_or_exact_blocker,maskfactory_release_snapshot_available,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
323,ITEM-W64-323,TRK-W64-323,MFB-01,release_snapshot_and_pinning,maskfactory_autonomous_bridge,validation,Schema Source Version Hash and Semantic Drift Gate,"Compare schema source, schema ID, semantic version, content hash, required fields, semantic invariants, executable field mapping, API/OpenAPI, package, ontology, node-pack, wheel, certificate format, canonicalization profile, and journal format.","Same-name, semver-compatible-but-hash-different, required-field, enum, or invariant drift fails closed with a typed blocker before normalization or execution.",ITEM-W64-321|ITEM-W64-322,implementation_hashes|tests|qa_record|pass_or_exact_blocker,,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
324,ITEM-W64-324,TRK-W64-324,MFB-01,release_snapshot_and_pinning,maskfactory_autonomous_bridge,release,Release Supersession Revocation and Adoption Boundary,"Process supersession, signing-key state, certificate validity, revocation-index freshness, and per-scope invalidation before authorizing a new pin; retain immutable signed adoption and checkpoint evidence.","A revoked, expired, superseded, forked, or invalidated scope cannot be resurrected by cache, rollback, restart, timestamp manipulation, embedded keys, or journal resealing.",ITEM-W64-321|ITEM-W64-322|ITEM-W64-323,implementation_hashes|tests|qa_record|pass_or_exact_blocker,,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
325,ITEM-W64-325,TRK-W64-325,MFB-02,adapter_dual_mode_contract,maskfactory_autonomous_bridge,contract,Strict v2 Bridge Request Compiler,"Compile project/run/job/pass/attempt/hypothesis, idempotency/nonce, exact still-frame-or-span media scope, source, declared scene roster, one target, protected character/prop/environment regions, separate input ROI hashes, intent, executable transform, compatibility, accepted claim class, resource/deadline, authority, and policy fields from immutable pass records.","Unknown fields, replayed authorization, target/protected ambiguity, output-as-input collisions, and invented references fail; access mode remains independent from minimum authority and accepted issuers.",ITEM-W64-177|ITEM-W64-178|ITEM-W64-179|ITEM-W64-180|ITEM-W64-324,implementation_hashes|tests|qa_record|pass_or_exact_blocker,,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
326,ITEM-W64-326,TRK-W64-326,MFB-02,adapter_dual_mode_contract,maskfactory_autonomous_bridge,implementation,Mode A Read-Only Package Adapter,"Resolve packages only through the active pin and verify artifact, source, owner, ontology, transform, authority, and certificate bindings.",Mode A never implies certified and Main performs no producer mutation.,ITEM-W64-325,implementation_hashes|tests|qa_record|pass_or_exact_blocker,adopted_maskfactory_release_with_mode_a_capability,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
327,ITEM-W64-327,TRK-W64-327,MFB-02,adapter_dual_mode_contract,maskfactory_autonomous_bridge,implementation,Mode B Live Predict and Refine Adapter,"Implement authenticated health, bounded nonce/deadline/idempotency admission, explicit admitted/submitted/accepted/running/succeeded/failed/cancelled/outcome_unknown lifecycle, predict/refine, reconciliation before resubmission, response validation, route/runtime lineage, and typed failure behavior.","Mode B defaults to draft; a network ambiguity becomes outcome_unknown, never an assumed failure or success, and one result may be stronger only through an active exact serving-route/output operational certificate.",ITEM-W64-325|ITEM-W64-326,implementation_hashes|tests|qa_record|pass_or_exact_blocker,compatible_maskfactory_service_or_synthetic_fixture,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
328,ITEM-W64-328,TRK-W64-328,MFB-02,adapter_dual_mode_contract,maskfactory_autonomous_bridge,validation,Normalized Result and Deterministic Arbitration,"Normalize both modes while retaining exact input ROI versus generated-output identity, source/media scope, package/service, route and eligible alternatives, runtime kind/digest, timing/resources, hypothesis, owner, transform, authority/claim class, certificate, QA, cache, and blocker lineage.","Normalization records factual execution without granting authority; a newer draft cannot overwrite stronger valid authority, close candidates branch only within budget, and ambiguity abstains.",ITEM-W64-325|ITEM-W64-326|ITEM-W64-327,implementation_hashes|tests|qa_record|pass_or_exact_blocker,,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
329,ITEM-W64-329,TRK-W64-329,MFB-03,authority_certificate_promotion,maskfactory_autonomous_bridge,contract,Frozen Authority Issuer Claim-Class and Legacy Migration Crosswalk,"Implement exact authority_state, issuer_kind, and claim_class vocabulary with access-mode-independent intended-use policy; migrate the legacy live QA strictness dial/string promotion gates to pinned structured v2 policy.",Unknown values fail; operationally_certified_artifact can support only its exact permitted use and never becomes independent accuracy or training gold; legacy/UI/LLM summaries are non-authoritative.,ITEM-W64-177|ITEM-W64-178|ITEM-W64-179|ITEM-W64-180|ITEM-W64-328,implementation_hashes|tests|qa_record|pass_or_exact_blocker,,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
330,ITEM-W64-330,TRK-W64-330,MFB-03,authority_certificate_promotion,maskfactory_autonomous_bridge,implementation,Exact Trust-Anchored Operational Certificate Verifier,"Verify out-of-band trusted signer, signature algorithm, release, capability, access mode, exact execution stack/runtime provenance, source media/frame/output, owner, transform, QA, policy, scope, issuer, issuance/expiry at decision time, and current revocation index.","Neither Mode A nor Mode B receives authority outside the exact active certificate scope, and embedded/self-signed keys or fixture evidence cannot establish production trust.",ITEM-W64-329,implementation_hashes|tests|qa_record|pass_or_exact_blocker,certificate_trust_root_or_synthetic_fixture,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
331,ITEM-W64-331,TRK-W64-331,MFB-03,authority_certificate_promotion,maskfactory_autonomous_bridge,validation,Structured Mask Authority and Downstream Promotion Gate,"Recompute use eligibility from the exact signed pinned Main policy using a complete unique criterion vector, declared comparator/threshold, analyzer and evidence hashes, claim class, signer trust, decision timestamp, certificate temporal evaluation, current revocation index, and genuine runtime evidence.","Producer use_eligibility, QA success, certificate presence, or LLM/VLM opinion is never sufficient by itself; every exact policy criterion and Main QA must pass without blockers.",ITEM-W64-329|ITEM-W64-330,implementation_hashes|tests|qa_record|pass_or_exact_blocker,,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
332,ITEM-W64-332,TRK-W64-332,MFB-03,authority_certificate_promotion,maskfactory_autonomous_bridge,release,Certificate Revocation Demotion and Per-Target Invalidation,"Apply signer revocation, certificate expiry/revocation, regression, per-target scope/hash drift, media-frame drift, and policy/revocation-index change as durable signed invalidations and re-evaluate dependents.",Only affected target masks/caches/dependents fail closed while unrelated targets and DAG branches continue; tombstoned authority cannot resurrect.,ITEM-W64-329|ITEM-W64-330|ITEM-W64-331,implementation_hashes|tests|qa_record|pass_or_exact_blocker,,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
333,ITEM-W64-333,TRK-W64-333,MFB-04,ownership_transform_derivation_repair,maskfactory_autonomous_bridge,contract,Multi-Entity Scene Roster Owner and Provider Index Binding,"Bind the exact target character plus every visible/protected character, prop, and environment instance to the declared scene roster, provider indices where applicable, references, visibility, occlusion, target masks, and protected input regions.","Duplicate, swapped, absent, cross-character, prop, environment, or ambiguous assignments block the affected pass and cannot be promotion-authoritative.",ITEM-W64-177|ITEM-W64-178|ITEM-W64-179|ITEM-W64-180|ITEM-W64-332,implementation_hashes|tests|qa_record|pass_or_exact_blocker,,Planned_Autonomous_Implementation_Required,True,False,core_autonomous_runtime,independent_real_accuracy|scale_daz_maturity,Plan/00_PROJECT_CONTROL/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_AND_RELEASE_HANDSHAKE_MASTER_PLAN.md|Plan/02_TARGET_ARCHITECTURE/WAVE64_MASKFACTORY_AUTONOMOUS_BRIDGE_ARCHITECTURE.md|Plan/Instructions/WAVE64_MASKFACTORY_BRIDGE_IMPLEMENTATION_AND_OPERATION_PROTOCOL.md|Plan/Instructions/QA/WAVE64_MASKFACTORY_BRIDGE_QA_AND_PROMOTION_PROTOCOL.md,planned_not_started,main_task_formal_adoption_then_dependency_order_implementation,runtime_implementation_and_evidence_not_yet_complete
